Affirmation de soi ,"Bonjour à tous. J'ai toujours était une très grande introvertie. Je préfère me balader seule dans la nature qu'aller boire un verre, je préfère lire tranquillement que sortir le soir. Je ne suis pour autant pas asociale complètement, je discute facilement au bureau avec mes collègues (j'aime même bien ça) et j'ai qq bons amis que je vois de temps en temps. Mais voilà la crise sanitaire a tout changé. Je ne suis pas vaccinée et ne souhaite pas l'être en raison de mes valeurs personnelles. Personne ne pourra me faire changer d'avis car cela touche à mes valeurs profondes. Je savais que ces valeurs n'étaient pas partagées mais cela n'a jamais posé de problème car je ne les impose pas et les garde pour moi. J'ai toujours fait attention aux autres (test avant de voir une personne fragile même vaccinée, masque) et je ne cache pas mon statut vaccinal et je laisse la possibilité aux autres de refuser de me côtoyer. Je ne pense donc pas que mes croyances soient un danger pour les autres dans la mesure où ils sont libres de ne pas me parler. Sans compter que je ne sors plus donc j'ai quand même peu de chance d'être contaminée. La plupart me parle encore mais ne m'accepte absolument pas. Résultat à force de me prendre des leçons de morale par tout le monde (le pharmacien qui fait le test, les médecins, mes collègues et mes amis) j'en suis venue à éviter le contact aux autres. Je ne me fais plus suivre médicalement (c'est surement le plus gênant), je ne parle plus aux gens car j'en ai marre d'être rejetée à chaque fois. Je reste chez moi, seule, à regarder le monde vivre et moi me dire que je ne suis décidément pas faite pour être ici.  Heureusement il me reste la nature qui n'est pas soumise au pass sanitaire. Mais je n'ai plus aucun lien social, à part avec ma mère qui elle m'accepte comme je suis. Je vis normalement au sens où je ne vis pas recluse chez moi mais je fais toutes mes activités en solo. La plupart du temps je le vis plutôt bien, certains jours sont plus difficiles que d'autres. Je pense surtout que je m'enfonce dans une voie dont je n'arriverai plus à sortir. Je ne sais pas si on peut vivre seul indéfiniment. Pourtant je suis une personne très altruiste, je veux aider les autres, les aimer, les accepter et les faire avancer mais pas au prix de renier mes valeurs personnelles. J'aime encore profondément les gens, mais ne pas être acceptée est difficile. Je n'attends rien en fait, j'avais juste envie de l'écrire, aimez vous les uns les autres, acceptez vous avec vos différences et respectez vous.",Introvertie ; valeurs ; éviter le contact aux autres ; être rejetée ; seule ; plus aucun lien social ,introversion ; affirmation de soi ; relation sociale,
Deuil - Confiance en soi ,"Bonjour, Je me permets de venir vers vous concernant une personne de ma famille, ma cousine. Elle est agée de 56 ans et, il y a deux ans, elle a perdu de manière consécutive son mari et sa mère. Elle était très proche de sa mère, leur relation était limite fusionnelle. Avec son mari, s'est autre chose, durant leur vie de couple, s'était un véritable tirant. Il l'a maltraité, la battait, a failli l'a tuer, il l'a rabaissé et j'en passe. Un jour, il est tombé malade et il est devenu dépendant d'elle. Mais à force de lui ""laver"" le cerveau en l'a rabaissant etcc.... On dirait que tout ce qu'il lui a fait subir, elle l'a totalement oublié, que sais-je. Quand elle était jeune, elle fesait des études d'infirmière, mais son mari à l'époque, lui a fait tout stopper. Il a refusé qu'elle travail, a refusé qu'elle passe son permis, elle ne sait pas non plus rouler à velo, ni même nagé. Il l'a cloisonné comme role de mère au foyer et défouloir également. Depuis qu'elle a perdu son mari et sa mère, quand on discute, ou qu'elle m'envoie des photos, elle mets toujours la photo de son defunt mari avec elle. Elle dit qu'elle parle à son mari à travers sa photo, ainsi qu'a sa mère. Elle se rends au cimetière et leur parle, presque chaque jour. Elle n'est pas totalement seule, car sa soeur vient la voir.  Son fils, lui, est parti vivre dans une autre région et ne vient vers elle que pour lui soutirer le peu de revenu qu'elle a. J'ai envie de l'aider, mais je vis trop loin d'elle. Elle parle de suicide, d'en avoir assez de la vie, de vouloir les rejoindre. J'essaie de lui remonter le moral au mieux, mais je pense qu'une aide psychologique lui serait benefique. Comme elle n'a jamais travaillé et que son mari a perdu son emploi dde son vivant car avait causé accident à causede l'alcool, ils etait tout deux au RSA. Donc elle ne gagne quasiment rien. Pourriez-vous me dire comment l'aider ? ou vous comment l'aideriez-vous ?  Merci",a perdu de manière consécutive son mari et sa mère ; proche de sa mère ; son mari était un véritable tyran ; maltraitée ; battait ; failli la tuer ; rabaissée ; il est tombé malade ; devenu dépendant d'elle ; son fils vit loin ; pas totalement seule ; parle de suicide ; vouloir les rejoindre ,deuil ; estime de soi ; relation sociale ; soutien ,
Famille,"Bonjour a tousJe me joins à vous pour étant à la recherche de réponses qui saura m'éclairer, ce qu'il y a a faire dans ma situation face a ma belle-famille. Cela fait 6 ans que nous sommes ensemble ""mon compagnon et moi"" je vous précise et que nous avons deux petits bouts notre fils 3 ans dans 1 mois et ma puce qui a eue 9 mois aujourd'hui nos enfants nous ont rempli de bonheur. Et l'ombre de cette histoire c'est cette moche famille qui cherche par dessus tout à détruire notre couple. Mon compagnon qui aura 31 ans cette année et moi 30 ans dans 1 mois. Le problème dans ma belle famille en commençant par les beaux-parents surtout ma belle-mere qui m'as pas du tout acceptées que je sois avec son fils, alors en revanche ils sont très fusionnelle avec lui jusqu'à devenir possessive avec mon compagnon ce qui me gêne le plus c'est qu'ils le couvent trop ils veulent tout contrôler chez lui, jusqu'à lui appeler pour un oui ou un non, pour savoir où est-il passé t'as fait quoi, l'inconvénient ils habitent à 2 pâté de maison passent leurs temps à nous surveiller depuis leurs jardin ou chez eux, ça me met mal à l'aise même pour recevoir de la famille ou des amies. Si par malheur ils voient pas ma voiture ou celle de mon compagnon les portables vont se mettre a sonner de manière intempestif jusqu'à multiplier les messages sur le répondeur c'est pareil pour recevoir du monde chez moi ils appellent pour savoir c'est qui en donnant des ordres en disant de ne pas recevoir du monde chez nous ""non mais excuse moi c'est des ami(es)"" surtout ils se croient tout permis chez nous du genre :- venir quand ils veulent a l'improviste - ramener du monde chez nous sans nous avertir (autres membre de leurs familles etc..)- prendre notre toit comme un musée lol - critiquer notre façon de tenir notre maison - s'immiscer dans notre vie - fouiller dans mes placards et gardes robes tiroir a sous-vêtements (rien que la belle-mère)- ouvrir le frigo et servir chez moi ce n'est pas le self service... Et je n'ai pas mon mot à dire alors que je suis chez MOI, pour eux dans leurs tête elle sait mieux que les autres ce qui est mieux pour mes enfants comme si elle veut prendre ma place de mère et j'ai dis stop cela ne peut plus durer. Elle était fâché avec moi c'est tant pis je ne fait que mon devoir de femme de maison et mère de famille. Ensuite le beau frère et belle soeur : La belle soeur qui aura 25 ans impolie vulgaire qui prends les gens de haut. Elle viens quand elle veut a la maison sans nous prévenir et sans même prendre la peine de bonjour ni enlever ses chaussure avant de franchir le seuil de la porte. dès son arrivé nous exige le code wifi pour se connecter aux réseaux sociaux et que j'ai bien refusé. Au final elle s'est mise à m'insulter et a claquer la porte sans se rendre compte qu'elle a réveillée ma fille et mon fils fait encore sa petite sieste. Et me menace de tout genre tel que réveiller ma fille. Elle est partie au moment que j'allais la mettre dehors.Et quant à mon beau frère 32 ans il fume et boit en présence des enfants et que je me suis rendue qu'il laisse des boulette de chichon dans la terrasse dans les toilettes ou dans la voiture et c'est la ou je suis devenue folle et je lui ai bien fait comprendre que je ne veut pas de ça sur mon toit, il fait mine de comprendre alors qu'il sait très bien dos tourné il recommence de plus belle je crains ce genre de cochonneries pour mes loulous, finalement j'ai pu espacer les visite des ces spécimens pour qu'il ne viennent pas nous pourrir. Ils sont jaloux de mes parents et ne les aiment pas alors qu'ils amènent des cadeaux pour mes enfants tel naissance anniversaire et noël, sauf qu'ils viennent toujours les mains vides et se goinfrer gratos. Heureusement que mon compagnon est au courant par rapport à sa famille qui sont en train de semer le trouble dans notre couple, et qu'on est du même longueur d'onde et prêt à mettre le holà pour que cela ne se reproduise plus !! Je n'en peut plus de ces gens là, je me consacre plutôt pour mes enfants et ma famille fondée que ces spécimens qui nous pourrit la vie h24 7j /7                ",belle-famille ; compagnon ; enfants ; famille qui cherche à détruire notre couple ; belle-mère possessive ; veulent tout contrôler chez lui ; appels intempestifs ; multiplier les messages sur le répondeur ; critiquer ; s'immiscer dans notre vie ; m'insulter ; compagnon sur la même longueur d'onde ,famille ; harcèlement ; affirmation de soi ,
Dépression ,"Bonjour, J'ai 17 ans, et d'aussi loin que je me souviennes, je me suis toujours senti triste et seul. J'ai peu de souvenirs d'avant le lycée. Quelque chose ne va pas avec moi, ou alors j'essaye de m'en convaincre, j'en sais rien. J'ai l'impression de subir ma vie, d'être en pilote automatique. Je ne fais jamais rien, que ce soit au lycée, chez moi, j'attends juste que le temps passe constamment et je ne pense à rien. Je suis persuadé que tout le monde me déteste et est ligué contre moi. Je pense souvent à mourir, ou à me faire du mal, pour je sais pas ressentir quelque chose ? Je fantasmes souvent sur des situations où on me frappe, on me blesse etc, au départ je pensais que c'était quelque chose de sexuel mais je me suis rendu compte que pas du tout, je déteste avoir mal et j'en ai très peur, pourtant quelque chose en moi a envie de souffrir, et je ne pense qu'a ça. Je suis suivi par un psychologue mais elle dit que c'est la fameuse crise d'adolescence, et j'en peux plus d'entendre ça. Est ce que c'est vraiment la crise d'adolescence ou est ce que j'ai un problème ?",triste ; seul : peu de souvenirs ; subir ma vie ; pilote automatique ; persuadé que tout le monde me déteste ; pense souvent à mourir ; me faire du mal ; pour ressentir quelque chose ; fantasme où on me frappe ; quelque chose en moi a envie de souffrir ,dépression ; relation  sociale ; crise existentielle ; identité ,
Stress,"Bonjour, hier j’ai reçu un appel masqué d’une connaissance qui ne voulait pas reprendre contact avec moi et juste avoir de mes nouvelles. Du coup j’ai pas dis la vérité car c’est une personne qui m’a fait du mal et je ne veux pas qu’elle sache ma vie. Du coup, je lui ai dis que j’allais me marié et que je partais vivre dans un autre pays d’ici quelques semaines. J’ai aussi dis que j’allais changer de numéro de téléphone car je ne voulais plus qu’il m’appelle. Mais depuis ça, j’ai un doute. En parlant avec ma maman de cet appel, elle me demande si je ne lui ai pas dis pour ma grossesse pour « ne pas qu’il me porte l’œil ». Et depuis cette réflexion je doute, je ne sais plus si j’ai dis pour ma grossesse ou non. Je doute beaucoup, j’essaie de me souvenir, j’ai même écrit les mots clés de la discussion sur un cahier mais ma grossesse ne reviens pas en mémoire. Mais je ne sais pas pourquoi, je m’obstine à chercher en profondeur et à me torturer l’esprit pour savoir si je lui ai dis ou non. Est ce normal ? j’ai peur pour la vie de mon bébé",pas dit la vérité ; doute ; torturer l'esprit pour savoir ,anxiété ; réassurer ; conseiller ,
Couple,"Bonjour, depuis  deux ans que je suis avec mon amie, je me suis aperçu qu'elle entretien une relation téléphonique et messages avec un ex, je lui ai demandé de bien vouloir cesser car il est trop intrusif sachant que je suis avec elle, il appelle même quand je suis là, et à tout heure de la journée, elle refuse sous prétexte qu'il est malade, alors qu'elle me demande de cesser tout contact avec la mère de mes enfants (ce n'est pas logique), je me suis aperçu qu'il lui envoie des photos et même des gifs animés amoureux, elle me répond que ça la fait rire, elle m'a dit que c'est lui qui lui a demandé de rester ""ami"" quinze jours après leur séparation, n'est il pas pervers narcissique ? aidez moi s'il vous plait merci pour vos retours Jean Luc",depuis deux que je suis avec mon amie ; relation téléphonique ; messages avec un ex ; elle refuse sous prétexte qu'il est malade ; me demande de cesser tout contact avec la mère de mes enfants ,couple ; valeurs ; acceptation ,
Séparation ,"Bonjour,  Je suis en couple avec elle depuis presque 6ans. Elle a 26ans, j'en ai 31ans. Nous vivons ensemble depuis 5 ans et avons vécu beaucoup ensemble (notamment 1 an en Australie) et je suis très proche de la belle famille. Cependant, elle vient de m'annoncer qu'elle souhaite me quitter car elle ne ""se supporte plus"" et que je serais trop bien pour elle.  Je suis de nature gentille et dévoué et elle est impulsive qui ne se laisse pas faire. On ne dispute presque jamais, le quotidien est un vrai bonheur (elle-même me le répète en me larguant). Mais elle m'a aussi avoué que ça fait 2-3 mois qu'elle ne ressent plus l'envie de m'embrasser, de venir m'enlacer ou que c'est même arrivé de coucher pour me faire plaisir (encore 1 fois, depuis 2-3 mois)... Elle me dit qu'elle va sans doute le regretter mais qu'elle en a besoin, elle aimerait voir si le désir entre nous peut revenir. Donc voilà, elle m'aime mais n'est plus amoureuse... Je ne sais pas comment réagir (je vais vivre autre part cependant), si je dois encore lui parler par téléphone, si je dois lui courir après....  Assez perdu en ce moment. Merci",en couple ; séparation ; ne me supporte plus ; de nature gentille et dévouée ; on se dispute presque jamais ; elle ne ressent plus l'envie de m'embrasser ; elle m'aime mais n'est plus amoureuse,couple ; séparation ; conseiller ,
Anxiété sociale,"Bonjour Madame, Monsieur  J'espère que vous allez bien j'écris ici pour essayer d'expliquer mon mal être car j'en peux plus de garder ça pour moi seul cela fait plus de 5 ou 6 ans j'ai l'impression que tout se dégringole dans ma vie en partant de mes relations sociales aux relations personnelles . Même quand ça commence à aller après ça se gâche .  Et pour couronner le tout je suis dans une comparaison absurde avec tout le monde dans le but de me mettre en confiance pourtant il la gâche qu'autre chose . J'ai souvent l'impression que personne ne m'aime quelque soit  où je suis je repousse tellement les gens je sais pas si c'est dû à ma timidité ou quoi . Je suis en constante dépression et j'ai pleins de fois l'envie de suicide . Il y a tellement pleins de choses encore.  Svp si quelqu'un peut m'aider à trouver une solution car je suis vraiment dévasté.",mal-être ; tout se dégringole dans ma vie ; relations sociale ; relations personnelles ; ça se gâche ; comparaison absurde avec tout le monde ; impression que personne ne m'aimde ; je repousse tellement les gens ; timidité ; dépression ; envie de suicide ,confiance en soi ; estime de soi ; relations sociales ; tristesse ; valoriser,
Estime de soi ,"Bonsoir,  La question est dans le sujet du post : lesquels, lesquelles d'entre-vous sont en couple avec leur conjoint par défaut, par dépit, faute d'avoir pu trouver mieux, faute d'avoir eu l'opportunité de pouvoir faire des choix?  Certains couples se forment par amour, d'autres par dépit, parce que l'un comme l'autre ne sont pas assez beaux ou encore pas assez bien positionnés socialement pour pouvoir se payer le luxe de faire des choix.  Dans mon cas de figure, c'est à cause du physique, je n'ai pas été gatée par la nature, Le ""choix' de mon compagnon n'a par conséquent pas été un choix mais un pis-aller, faute de mieux... Qui d'entre-vous se trouve dans la même situation que moi, comment le vivez-vous? Etes-vous aigri(e)s, en voulez-vous à la vie? Merci d'avance pour vos témoignages.                ",en couple par défaut ; à cause du physique ,image de soi ; estime de soi ; valoriser,
Rupture ,"Bonjour,  Je me présente, je m'appelle Mehdi j'ai 26 ans et je souffre de philophobie. J'ai été dans une relation, qui a durée 3 ans environ,  dont je ressens toujours l'impacte. Dernièrement j'ai fait la connaissance d'une charmante demoiselle, une collègue au travail, belle , intelligente, attentionnée, chaleureuse et m'aime bien ( la cerise sur le gâteau). Au début j'étais très enthousiaste et je voulais la séduire à tout prix car elle me plaît beaucoup, une fois que notre relation a commencé a devenir sérieuse, je lui ai fait part de ce que je pense d'elle ( je lui ai dit qu'elle me plaît beaucoup) et elle m'a affirmé que c'est réciproque et qu'elle était très heureuse de le savoir. Bref, j'étais aux anges.  Quelques temps après, le pire de mes cauchemars a pointé le nez. Mon angoisse a surgi et j'ai commencé a avoir des doutes au point que l'angoisse et la peur sont devenus les seuls sentiments que j'éprouve maintenant depuis deux longues semaines. Hier je lui ai avoué que je je suis pas prêt à m'engager dans unz relation. Je suis terriblement triste, elle me fait de la peine et en même temps j'ai peur pour moi même, j'ai peur de ne plus jamais pouvoir être heureux en amour et avoir une vie épanoui. En l'attente de votre aide, je vous prie d'agréer l'expression de mes sincères remerciements.",philophobie ; relation dont je ressens toujours l'impact ; angoisse ; doutes ; peur ; pas prêt à m'engager dans une relation ; triste ; peur pour moi-même ,rupture  ; deuil  ; acceptation ; adaptation ; engagement,
